"序號","事業單位名稱","違反條文","罰鍰文號","罰鍰日期"
93,"富康旅行社股份有限公司","第22條第2項","高市勞條字第10440097700號","105/01/05"
94,"李珮瑜即李氏商行","第22條第2項","高市勞條字第10439619100號","105/01/06"
,,"第24條",,
,,"第32條第2項",,
95,"大新保全股份有限公司","第21條第1項","高市勞條字第10439873000號","105/01/06"
,,"第30條第5項",,
,,"第39條",,
96,"京城保全股份有限公司","第24條","高市勞條字第10440475000號","105/01/06"
,,"第30條第5項",,
,,"第32條第2項",,
97,"鄭漢立即郭董臭臭鍋","第23條第2項","高市勞條字第10439495500號","105/01/06"
,,"第30條第5項",,
98,"台力橡膠股份有限公司","第22條第2項","高市勞條字第10439931700號","105/01/07"
,,"第24條",,
99,"萬寶華企業管理顧問股份有限公司","第24條","高市勞條字第10440122300號","105/01/08"
100,"台灣雷克有限公司","第30條第5項","高市勞條字第10440122100號","105/01/08"
101,"新鎮生鮮大賣場有限公司","第30條第5項","高市勞條字第10439926100號","105/01/08"
,,"第36條",,
,,"第39條",,
102,"建平通運有限公司","第30條第5項","高市勞條字第10530050200號","105/01/08"
,,"第36條",,
103,"穗羽企業有限公司","第22條第2項","高市勞條字第10440461300號","105/01/08"
104,"吳品繐即慈心企業社","第32條第2項","高市勞條字第10439872500號","105/01/08"
,,"第36條",,
,,"第30條第5項","高市勞條字第1043987250A號","105/01/08"
105,"順豐行銷有限公司","第23條第2項","高市勞條字第10440459700號","105/01/08"
,,"第30條第5項",,
106,"寒軒國際大飯店股份有限公司","第39條","高市勞條字第10530105700號","105/01/08"
107,"富達運輸股份有限公司","第22條第2項","高市勞條字第10439786300號","105/01/08"
,,"第32條第2項",,
108,"劉慧美即高雄市私立弘學文理短期補習班","第36條","高市勞條字第10530176200號","105/01/08"
109,"侑特科技股份有限公司","第22條第2項","高市勞條字第10530044400號","105/01/11"
,,"第32條第2項",,
,,"第36條",,
110,"陳瑞光即大慶診所","第30條第5項","高市勞條字第10530028000號","105/01/11"
,,"第36條",,
111,"蔡忠南即璟田設計坊","第23條第2項","高市勞條字第10530182000號","105/01/12"
,,"第30條第5項",,
112,"阡悅企業有限公司","第22條第2項","高市勞條字第10439807000號","105/01/12"
