"序號","事業單位名稱","違反條文","罰鍰文號","罰鍰日期"
159,"劉仲熹","勞動基準法第21條第1項","高市勞條字第10533667100號","105/05/10"
160,"九九婚紗攝影有限公司","勞動基準法第22條第2項","高市勞條字第10532670000號","105/05/10"
161,"佔鰲貿易股份有限公司","勞動基準法第30條第5項","高市勞條字第10533735700號","105/05/10"
162,"華盛頓企業有限公司","勞動基準法第24條","高市勞條字第10533369300號","105/05/10"
163,"盧亞鵑即駿威企業社","勞動基準法第23條第2項","高市勞條字第10533738300號","105/05/11"
164,"柏愛診所","勞動基準法第30條第5項","高市勞條字第10532733000號","105/05/11"
165,"李鉅章即力宸食品行","勞動基準法第36條","高市勞條字第10533677400號","105/05/12"
166,"資眾實業有限公司","勞動基準法第30條第5項","高市勞條字第10533943400號","105/05/13"
167,"永盛綜合企業有限公司","勞動基準法第24條","高市勞條字第10533947700號","105/05/13"
168,"勝鎧工業股份有限公司","勞動基準法第21條第1項","高市勞條字第10532828400號","105/05/13"
169,"俊助壽司食堂","勞動基準法第24條","高市勞條字第10533943700號","105/05/16"
170,"梁郁晴即澄清小吃店","勞動基準法第30條第5項","高市勞條字第10533943900號","105/05/16"
171,"邱瓊慧即里芝達企業社","勞動基準法第30條第5項","高市勞條字第10533986500號","105/05/18"
172,"曹正賢即冠瑜小吃部","勞動基準法第23條第2項","高市勞條字第10534018600號","105/05/18"
173,"勝南中醫診所","勞動基準法第39條","高市勞條字第10533166600號","105/05/20"
174,"墾通企業有限公司","勞動基準法第24條","高市勞條字第10533531400號","105/05/20"
175,"男益企業有限公司","勞動基準法第24條","高市勞條字第10532987600號","105/05/20"
176,"高雄市私立喜得托嬰中心","勞動基準法第30條第6項","高市勞條字第10533533300號","105/05/20"
177,"冠牌鋼鋁有限公司","勞動基準法第39條","高市勞條字第10533332700號","105/05/23"
178,"藍勢真即維恩牙醫診所","勞動基準法第24條","高市勞條字第10534026800號","105/05/23"
179,"強頓實業有限公司","勞動基準法第24條","高市勞條字第10533032200號","105/05/23"
180,"楊耳鼻喉科診所","勞動基準法第36條","高市勞條字第10533203900號","105/05/25"
181,"源裕豐股份有限公司","勞動基準法第39條","高市勞條字第10533167700號","105/05/25"
182,"尚侑紙業有限公司","勞動基準法第24條","高市勞條字第10533279300號","105/05/26"
183,"馬玉山食品工業股份有限公司","勞動基準法第24條","高市勞條字第10533249300號","105/05/27"
184,"東森電視事業股份有限公司","勞動基準法第39條","高市勞條字第10533643400號","105/05/27"
185,"家福股份有限公司","勞動基準法第32條第2項","高市勞條字第10534152600號","105/05/30"
186,"澎湖航業股份有限公司","勞動基準法第30條第5項","高市勞條字第10534152300號","105/05/30"
187,"茗豐企業有限公司","勞動基準法第32條第2項","高市勞條字第10533369100號","105/05/31"
188,"王婷即聖翔食品海產加工廠","勞動基準法第30條第5項","高市勞條字第10533920300號","105/05/31"
189,"高雄市私立育生幼兒園","勞動基準法第30條第5項","高市勞條字第10531511100號","105/03/16"
190,"黃耀霆即五洲國際專利商標事務所","勞動基準法第22條第2項","高市勞條字第10530710100號","105/02/24"
191,"楊憲慶即廣騰商行","勞動基準法第39條","高市勞條字第10531745300號","105/04/06"
192,"中華日光交通股份有限公司","勞動基準法第30條第5項","高市勞條字第10533213600號","105/05/02"
193,"赫里翁餐飲有限公司","勞動基準法第36條","高市勞條字第10533777600號","105/06/01"
194,"高雄市私立博愛老人養護中心","勞動基準法第21條第1項","高市勞條字第10533868000號","105/06/02"
195,"建來企業股份有限公司","勞動基準法第32條第2項","高市勞條字第10534244600號","105/06/01"
196,"宗正理貨股份有限公司","勞動基準法第32條第2項","高市勞條字第10534509400號","105/06/02"
197,"葉淑英即火鍋頭小吃部","勞動基準法第21條第1項","高市勞條字第10534127900號","105/06/02"
198,"張翠平即西安麵食小吃店","勞動基準法第30條第5項","高市勞條字第10534370800號","105/06/03"
199,"上欣營造興業股份有限公司","勞動基準法第24條","高市勞條字第10534127600號","105/06/04"
200,"台灣產經股份有限公司","勞動基準法第32條第2項","高市勞條字第10533920400號","105/06/04"
201,"王佳容即高雄市私立資和幼兒園","勞動基準法第30條第6項","高市勞條字第10534157600號","105/06/04"
202,"鉦昌通訊科技有限公司","勞動基準法第30條第5項","高市勞條字第10534378300號","105/06/04"
203,"華品運輸股份有限公司","勞動基準法第32條第2項","高市勞條字第10533756300號","105/06/07"
204,"吳懋宏即臻紅企業社","勞動基準法第30條第5項","高市勞條字第10534517200號","105/06/04"
205,"威廉泰爾餐飲有限公司","勞動基準法第24條","高市勞條字第10534385800號","105/06/04"
206,"柯詠晨即寰銘企業社","勞動基準法第21條第1項","高市勞條字第10533933400號","105/06/06"
207,"恒揚國際電子股份有限公司","勞動基準法第32條第2項","高市勞條字第10534459000號","105/06/06"
208,"安泰證券股份有限公司","勞動基準法第21條第1項","高市勞條字第10534444800號","105/06/06"
209,"洪永峻即金龍冷飲店","勞動基準法第36條","高市勞條字第10534583400號","105/06/06"
210,"閎隆工程有限公司","勞動基準法第30條第5項","高市勞條字第10534592600號","105/06/07"
211,"許立家即梓揚商行","勞動基準法第22條第2項","高市勞條字第10534132500號","105/06/07"
212,"婚活國際資訊網有限公司","勞動基準法第39條","高市勞條字第10534272800號","105/06/08"
213,"高雄尊龍大飯店股份有限公司","勞動基準法第39條","高市勞條字第10534005400號","105/06/13"
214,"裕山環境工程有限公司","勞動基準法第30條第6項","高市勞條字第10533643600號","105/06/14"
215,"急地企業有限公司","勞動基準法第24條","高市勞條字第10534657500號","105/06/14"
216,"橘樂安廚有限公司","勞動基準法第22條第2項","高市勞條字第10534452400號","105/06/14"
217,"黃敬三即翠湖","勞動基準法第30條第5項","高市勞條字第10534661000號","105/06/15"
218,"張王素琴即廣林青草行","勞動基準法第30條第5項","高市勞條字第10534688300號","105/06/16"
219,"科隆國際生物科技股份有限公司","勞動基準法第70條","高市勞條字第10534761600號","105/06/17"
220,"晶華興業有限公司","勞動基準法第22條第2項","高市勞條字第10534739700號","105/06/17"
221,"瑞屏企業股份有限公司","勞動基準法第39條","高市勞條字第10534639600號","105/06/17"
222,"高雄市私立新松柏養護之家","勞動基準法第39條","高市勞條字第10534568000號","105/06/17"
223,"余國菁即珏勝企業社","勞動基準法第24條","高市勞條字第10534760800號","105/06/20"
224,"李桐琪即四季毛巾洗滌","勞動基準法第30條第5項","高市勞條字第10534687700號","105/06/21"
225,"統春實業股份有限公司","勞動基準法第32條第2項","高市勞條字第10534132000號","105/06/23"
226,"東洋建蒼電機股份有限公司","勞動基準法第32條第2項","高市勞條字第10534802200號","105/06/23"
227,"中網雲端資訊有限公司","勞動基準法第22條第2項","高市勞條字第10535019900號","105/06/23"
228,"大東通運有限公司","勞動基準法第22條第2項","高市勞條字第10534173900號","105/06/24"
229,"鼎昕實業有限公司","勞動基準法第30條第6項","高市勞條字第10534446100號","105/06/24"
230,"三多四季商旅股份有限公司","勞動基準法第39條","高市勞條字第10534909900號","105/06/27"
231,"漢程汽車客運股份有限公司","勞動基準法第39條","高市勞條字第10534842300號","105/06/27"
232,"得海有限公司","勞動基準法第21條第1項","高市勞條字第10535111800號","105/06/27"
233,"晉億冷凍機械有限公司","勞動基準法第32條第2項","高市勞條字第10534257300號","105/06/27"
234,"昌利汽車有限公司","勞動基準法第30條第5項","高市勞條字第10535185100號","105/06/27"
235,"高雄市私立康齡老人養護中心","勞動基準法第36條 ","高市勞條字第10534416800號","105/06/27"
236,"波特嫚國際生物科技股份有限公司","勞動基準法第22條第2項","高市勞條字第10534930600號","105/06/28"
237,"朱美琪即阿嬤碗粿店","勞動基準法第30條第5項","高市勞條字第10535202200號","105/06/29"
238,"胡偉即韓昇小吃店","勞動基準法第30條第6項","高市勞條字第10535068500號","105/06/30"
239,"寶大水電工程有限公司","勞動基準法第30條第6項","高市勞條字第10534349500號","105/06/30"
240,"寒軒國際大飯店股份有限公司","勞動基準法第36條","高市勞條字第1053440140A號","105/06/30"
241,"天一工程顧問有限公司","勞動基準法第22條第2項","高市勞條字第10534929800號","105/06/30"
1,"三芳化學工業股份有限公司","勞動基準法第32條第2項","高市勞條字第10533531700號","105/05/18"
2,"郭爐山企業股份有限公司","勞動基準法第24條","高市勞條字第10533100900號","105/05/23"
,,"勞動基準法第36條",,
,,"勞動基準法第39條",,
,,"勞動基準法第70條",,
3,"越峰工程有限公司","勞動基準法第32條第2項","高市勞條字第10534450100號","105/06/03"
,,"勞動基準法第36條",,
4,"慶聯有線電視股份有限公司","勞動基準法第32條第2項","高市勞條字第10534648900號","105/06/13"
5,"冠中公寓大廈管理維護有限公司","勞動基準法第24條","高市勞條字第10532952300號","105/05/18"
,,"勞動基準法第32條第2項",,
6,"穩得工業股份有限公司","勞動基準法第32條第2項","高市勞條字第10533249000號","105/05/06"
7,"永通股份有限公司","勞動基準法第39條","高市勞條字第10532951600號","105/04/26"
8,"金泳企業有限公司","勞動基準法第80條","高市勞條字第10533222400號","105/04/29"
9,"楊光榮即東京髮型沙龍","勞動基準法第30條第5項","高市勞條字第10532939500號","105/04/21"
10,"大隆保利龍股份有限公司","勞動基準法第21條第1項","高市勞條字第10533167100號","105/05/05"
11,"啟盛交通股份有限公司","勞動基準法第24條","高市勞條字第10534453500號","105/06/04"
12,"介慶企業股份有限公司","勞動基準法第24條","高市勞條字第10532802100號","105/04/22"
1,"華新保全股份有限公司","勞動基準法第24條","高市勞條字第10534700400號","105/06/23"
2,"先鋒保全股份有限公司","勞動基準法第30條第6項","高市勞條字第10534721100號","105/7/13"
,,"勞動基準法第39條",,
